0,1,2,3,4,5,6,7,8,9,10
canned beer,whipped/sour cream,,,,,,,,,
pastry,seasonal products,,,,,,,,,
whole milk,pastry,salty snack,,,,,,,,
detergent,butter,,,,,,,,,
UHT-milk,whole milk,canned beer,,,,,,,,
rolls/buns,frozen vegetables,pot plants,pastry,,,,,,,
soda,other vegetables,,,,,,,,,
chicken,hygiene articles,,,,,,,,,
other vegetables,spread cheese,,,,,,,,,
canned beer,other vegetables,,,,,,,,,
curd,pastry,,,,,,,,,
hamburger meat,pork,chicken,whole milk,,,,,,,
pasta,sausage,rolls/buns,root vegetables,flower (seeds),,,,,,
bottled water,root vegetables,bottled water,,,,,,,,
sausage,pastry,whole milk,,,,,,,,
bottled beer,whole milk,,,,,,,,,
sugar,whole milk,pastry,salty snack,,,,,,,
whole milk,soda,,,,,,,,,
bottled beer,whole milk,citrus fruit,other vegetables,soft cheese,,,,,,
hamburger meat,frozen potato products,whole milk,citrus fruit,semi-finished bread,napkins,,,,,
whole milk,salty snack,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
rolls/buns,napkins,,,,,,,,,
herbs,soda,frozen vegetables,,,,,,,,
pip fruit,sliced cheese,sugar,,,,,,,,
white bread,citrus fruit,sugar,,,,,,,,
soft cheese,onions,,,,,,,,,
abrasive cleaner,yogurt,frozen meals,,,,,,,,
rolls/buns,red/blush wine,,,,,,,,,
soda,cling film/bags,,,,,,,,,
liquor,margarine,,,,,,,,,
citrus fruit,soda,butter,bottled water,bottled beer,,,,,,
frankfurter,butter,,,,,,,,,
beef,flower (seeds),,,,,,,,,
ice cream,margarine,,,,,,,,,
other vegetables,cream cheese ,,,,,,,,,
rolls/buns,rum,,,,,,,,,
cream cheese ,soda,,,,,,,,,
tropical fruit,snack products,,,,,,,,,
curd cheese,sausage,bottled water,napkins,,,,,,,
bottled water,fruit/vegetable juice,cat food,,,,,,,,
root vegetables,cream cheese ,,,,,,,,,
bottled water,frozen meals,,,,,,,,,
pip fruit,flour,,,,,,,,,
chocolate,hard cheese,,,,,,,,,
tropical fruit,soda,yogurt,root vegetables,yogurt,domestic eggs,white wine,photo/film,,,
liver loaf,soda,,,,,,,,,
other vegetables,other vegetables,pip fruit,specialty bar,,,,,,,
whole milk,whole milk,citrus fruit,light bulbs,,,,,,,
misc. beverages,rolls/buns,,,,,,,,,
tropical fruit,rum,flour,,,,,,,,
grapes,yogurt,condensed milk,,,,,,,,
white bread,canned beer,,,,,,,,,
fruit/vegetable juice,long life bakery product,,,,,,,,,
berries,newspapers,,,,,,,,,
chicken,rolls/buns,,,,,,,,,
hamburger meat,white bread,,,,,,,,,
beverages,butter milk,,,,,,,,,
cream cheese ,other vegetables,,,,,,,,,
flour,tropical fruit,,,,,,,,,
chocolate marshmallow,whipped/sour cream,,,,,,,,,
whole milk,butter,domestic eggs,,,,,,,,
rolls/buns,whole milk,soda,,,,,,,,
cat food,rolls/buns,,,,,,,,,
hygiene articles,bottled water,candy,,,,,,,,
brown bread,soda,,,,,,,,,
whipped/sour cream,red/blush wine,,,,,,,,,
beef,pip fruit,rolls/buns,,,,,,,,
curd,domestic eggs,,,,,,,,,
pastry,waffles,,,,,,,,,
rolls/buns,dental care,,,,,,,,,
cream cheese ,whole milk,,,,,,,,,
shopping bags,rolls/buns,,,,,,,,,
shopping bags,rolls/buns,,,,,,,,,
brown bread,dessert,,,,,,,,,
whole milk,bottled water,,,,,,,,,
other vegetables,vinegar,,,,,,,,,
frankfurter,hamburger meat,,,,,,,,,
sliced cheese,frozen chicken,,,,,,,,,
whole milk,coffee,,,,,,,,,
whole milk,bottled water,honey,,,,,,,,
beef,Instant food products,,,,,,,,,
chicken,butter,curd,flower (seeds),,,,,,,
whole milk,waffles,soft cheese,domestic eggs,dish cleaner,bathroom cleaner,,,,,
pork,soda,soda,,,,,,,,
meat,sausage,salty snack,white wine,frozen vegetables,beverages,,,,,
frankfurter,root vegetables,,,,,,,,,
whole milk,brown bread,,,,,,,,,
pastry,white bread,,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
fruit/vegetable juice,pip fruit,,,,,,,,,
ice cream,margarine,sliced cheese,pastry,,,,,,,
citrus fruit,domestic eggs,flour,,,,,,,,
root vegetables,margarine,,,,,,,,,
tropical fruit,cake bar,chocolate,,,,,,,,
sugar,shopping bags,,,,,,,,,
pork,finished products,citrus fruit,misc. beverages,,,,,,,
frankfurter,bottled water,,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
whole milk,pastry,seasonal products,berries,long life bakery product,yogurt,coffee,,,,
chicken,whole milk,snack products,,,,,,,,
whipped/sour cream,other vegetables,honey,,,,,,,,
rolls/buns,specialty cheese,domestic eggs,,,,,,,,
other vegetables,dog food,,,,,,,,,
rolls/buns,frozen vegetables,,,,,,,,,
whole milk,ice cream,,,,,,,,,
sausage,other vegetables,,,,,,,,,
sausage,white bread,,,,,,,,,
chicken,whipped/sour cream,,,,,,,,,
condensed milk,waffles,domestic eggs,,,,,,,,
frankfurter,canned beer,,,,,,,,,
UHT-milk,rolls/buns,,,,,,,,,
whole milk,pastry,chewing gum,shopping bags,,,,,,,
chicken,berries,soda,,,,,,,,
frankfurter,coffee,,,,,,,,,
whole milk,bottled beer,rolls/buns,domestic eggs,semi-finished bread,fruit/vegetable juice,,,,,
cream cheese ,whole milk,,,,,,,,,
whole milk,margarine,,,,,,,,,
margarine,butter,,,,,,,,,
frankfurter,shopping bags,bottled water,,,,,,,,
berries,newspapers,frozen fish,,,,,,,,
whole milk,butter milk,yogurt,,,,,,,,
other vegetables,dessert,,,,,,,,,
frankfurter,salty snack,,,,,,,,,
pip fruit,beverages,pastry,,,,,,,,
rolls/buns,frozen vegetables,frozen vegetables,,,,,,,,
specialty chocolate,whole milk,red/blush wine,,,,,,,,
soda,citrus fruit,rolls/buns,,,,,,,,
cat food,whole milk,,,,,,,,,
